Candidate_ID,Age,Gender,Nationality,Education_Level,University_Ranking,Field_of_Study,Years_of_Experience,Technical_Skills_Score,Communication_Score,Interview_Score,Assessment_Test_Score,Internship_Experience,Previous_Company_Tier,Expected_Salary,Willing_to_Relocate,Visa_Status,English_Proficiency,Leadership_Experience,Certifications_Count,Application_Source,Referral_Status,HR_Rating,Manager_Rating,Final_Hiring_Decision
TLB0011,38,Male,Indian,Master's,241,Engineering,1,35.3,78.8,72.9,60.0,Yes,Startup,14300,No,Citizen,Intermediate,No,4,LinkedIn,Not Referred,2.6,2.5,Rejected
TLB0012,23,Female,Other,Master's,149,Finance,2,64.6,61.6,67.4,68.4,Yes,None,16400,Yes,UAE Resident,Basic,No,5,Referral,Referred,4.4,3.2,Hired
TLB0013,20,Female,Egyptian,High School,299,Logistics,7,46.9,67.6,85.1,65.1,No,Tier 3,14600,Yes,Citizen,Intermediate,No,1,Job Portal,Not Referred,3.5,3.3,Rejected
TLB0014,24,Female,Egyptian,Bachelor's,446,Business,2,78.4,72.1,48.2,84.8,Yes,Tier 1,12400,No,UAE Resident,Fluent,No,1,Job Portal,Not Referred,2.6,3.3,Hired
TLB0015,32,Male,Indian,Bachelor's,411,Other,7,73.3,62.4,60.9,38.3,Yes,Tier 1,11600,Yes,UAE Resident,Intermediate,No,5,Referral,Referred,2.0,2.3,Hired
TLB0016,37,Male,Egyptian,High School,383,Logistics,10,79.7,62.0,49.8,83.6,No,Tier 3,14500,Yes,UAE Resident,Fluent,No,1,Job Portal,Not Referred,2.8,3.9,Rejected
TLB0017,26,Male,Other,Bachelor's,327,Finance,0,60.6,61.2,80.3,82.6,No,None,21900,Yes,Citizen,Fluent,No,6,Referral,Referred,3.0,2.7,Hired
TLB0018,40,Male,Emirati,Master's,268,Engineering,3,62.1,98.5,83.1,65.1,No,Tier 2,15800,No,Citizen,Intermediate,Yes,3,Job Portal,Not Referred,2.8,3.6,Hired
TLB0019,30,Female,Indian,Master's,540,Finance,4,42.5,64.7,92.0,70.8,Yes,Startup,13700,No,Work Visa,Fluent,No,0,LinkedIn,Not Referred,5.0,2.9,Hired
TLB0020,29,Female,Indian,PhD,1,Logistics,3,49.5,80.8,73.8,59.8,No,Tier 3,5800,No,UAE Resident,Fluent,Yes,5,Referral,Referred,2.0,4.6,Hired
TLB0021,24,Female,Indian,PhD,166,Business,2,79.2,57.6,77.3,41.4,Yes,None,8200,Yes,UAE Resident,Intermediate,No,3,Job Portal,Not Referred,3.2,4.3,Hired
TLB0022,41,Male,Egyptian,Master's,382,Other,3,70.5,88.4,72.7,73.1,No,None,10500,No,UAE Resident,Basic,No,0,Walk-in,Not Referred,3.1,4.8,Hired
TLB0023,29,Female,Pakistani,Bachelor's,605,Other,4,66.6,63.5,74.5,68.5,No,Tier 2,16100,Yes,UAE Resident,Native,No,1,Job Portal,Not Referred,3.0,4.4,Rejected
TLB0024,22,Female,Filipino,Master's,230,Engineering,5,83.9,68.6,67.6,68.7,Yes,Startup,7800,Yes,UAE Resident,Intermediate,No,7,Company Website,Not Referred,1.8,3.0,Rejected
TLB0025,44,Female,Indian,Master's,247,Finance,8,45.5,46.0,75.0,71.8,Yes,None,14900,Yes,Work Visa,Fluent,No,3,Job Portal,Not Referred,3.2,2.7,Rejected
TLB0026,32,Male,Indian,Master's,42,Marketing,4,75.8,81.4,94.8,56.5,Yes,None,12500,Yes,Work Visa,Fluent,No,2,Job Portal,Not Referred,3.3,2.2,Hired
TLB0027,34,Male,Indian,Bachelor's,191,Hospitality,8,47.3,84.0,69.8,85.9,No,Tier 3,13600,Yes,Citizen,Intermediate,Yes,4,LinkedIn,Not Referred,3.7,3.3,Hired
TLB0028,40,Male,American,Bachelor's,441,Logistics,2,87.2,53.8,67.3,65.1,No,Tier 2,11000,No,UAE Resident,Intermediate,Yes,1,Referral,Referred,3.5,3.1,Hired
TLB0029,33,Male,Filipino,Master's,615,Computer Science,0,73.2,82.1,69.6,72.6,No,Tier 3,9300,No,UAE Resident,Intermediate,No,3,Company Website,Not Referred,4.1,3.1,Hired
TLB0030,35,Female,Indian,Bachelor's,241,Computer Science,3,79.5,52.0,65.1,61.2,No,Startup,7600,No,Work Visa,Intermediate,Yes,4,Company Website,Not Referred,1.8,2.4,Hired
TLB0031,30,Female,British,Bachelor's,140,Business,6,54.5,75.6,70.2,79.7,Yes,Tier 2,14800,Yes,UAE Resident,Basic,Yes,7,Job Portal,Not Referred,3.0,3.4,Hired
TLB0032,34,Female,Emirati,Bachelor's,313,Other,8,97.7,64.5,64.6,66.5,Yes,None,11700,Yes,Work Visa,Intermediate,Yes,2,Referral,Referred,5.0,2.8,Hired
TLB0033,29,Male,Indian,Bachelor's,1,Engineering,10,95.0,84.0,81.9,63.8,No,Tier 2,7200,Yes,Visit Visa,Native,Yes,6,LinkedIn,Not Referred,3.9,2.7,Hired
TLB0034,29,Male,Indian,High School,547,Logistics,6,71.5,71.0,80.6,81.9,Yes,None,13000,No,UAE Resident,Intermediate,No,3,LinkedIn,Not Referred,2.2,3.2,Hired
TLB0035,30,Male,Other,PhD,53,Engineering,7,82.6,79.2,95.2,40.9,Yes,Tier 3,27400,Yes,UAE Resident,Intermediate,No,7,Job Portal,Not Referred,3.3,3.0,Hired
TLB0036,27,Male,Egyptian,Master's,362,Business,9,60.5,82.9,66.7,61.1,Yes,Tier 1,11100,Yes,Citizen,Native,Yes,0,LinkedIn,Not Referred,2.5,2.0,Rejected
TLB0037,33,Male,Filipino,Master's,359,Other,2,46.0,64.5,70.8,56.4,Yes,Tier 3,19400,No,Work Visa,Intermediate,No,1,Job Portal,Not Referred,2.9,2.5,Hired
TLB0038,33,Male,Emirati,Bachelor's,425,Marketing,4,76.9,67.7,70.2,70.2,No,Tier 3,3000,Yes,Work Visa,Intermediate,No,3,LinkedIn,Not Referred,4.6,3.5,Hired
TLB0039,34,Male,Indian,Bachelor's,351,Engineering,14,51.2,54.7,69.6,69.4,Yes,None,10800,No,Work Visa,Fluent,No,6,Referral,Referred,3.9,3.1,Hired
TLB0040,33,Female,Filipino,Bachelor's,300,Computer Science,7,84.7,64.4,81.7,64.8,Yes,Tier 3,16300,No,Work Visa,Fluent,No,2,Job Portal,Not Referred,2.1,1.5,Hired
TLB0041,42,Male,Indian,Bachelor's,385,Computer Science,6,80.7,91.1,45.9,55.0,Yes,Tier 1,12100,No,UAE Resident,Fluent,Yes,0,Referral,Referred,2.7,3.7,Hired
TLB0042,36,Female,Other,High School,466,Computer Science,8,68.5,77.1,73.0,64.7,No,None,9100,No,Visit Visa,Fluent,No,1,Job Portal,Not Referred,3.2,3.1,Rejected
TLB0043,28,Female,Egyptian,Master's,659,Engineering,0,67.7,55.5,92.9,69.5,Yes,Tier 3,11900,Yes,Citizen,Intermediate,Yes,2,LinkedIn,Not Referred,3.0,2.3,Rejected
TLB0044,32,Male,Pakistani,PhD,79,Marketing,2,79.8,87.6,84.7,62.5,Yes,Tier 2,16400,Yes,UAE Resident,Fluent,No,3,Company Website,Not Referred,3.4,2.6,Rejected
TLB0045,38,Female,Egyptian,Bachelor's,1,Business,1,69.1,72.7,83.2,80.5,Yes,None,21600,Yes,UAE Resident,Intermediate,Yes,4,Company Website,Not Referred,2.7,3.2,Hired
TLB0046,24,Female,Other,Bachelor's,1,Computer Science,6,58.9,78.0,77.9,73.6,Yes,Tier 1,16800,Yes,Work Visa,Intermediate,No,6,Job Portal,Not Referred,2.9,1.3,Hired
TLB0047,42,Male,Pakistani,Bachelor's,1,Business,3,42.3,73.9,59.3,65.3,No,Tier 1,9700,Yes,Work Visa,Fluent,Yes,1,LinkedIn,Not Referred,2.6,3.4,Rejected
TLB0048,25,Male,Filipino,Bachelor's,60,Engineering,5,79.4,73.0,57.3,32.2,Yes,Tier 3,11000,Yes,UAE Resident,Fluent,No,6,Referral,Referred,2.9,3.9,Hired
TLB0049,35,Female,Other,Bachelor's,34,Other,3,70.5,44.0,57.4,61.9,No,Tier 3,11000,Yes,Work Visa,Fluent,No,7,Company Website,Not Referred,3.7,3.8,Hired
TLB0050,30,Male,Indian,Bachelor's,216,Engineering,0,100.0,81.3,52.2,73.8,No,Tier 3,8100,Yes,Work Visa,Fluent,No,2,Walk-in,Not Referred,3.4,4.0,Hired
TLB0051,29,Male,Other,Bachelor's,471,Computer Science,8,63.6,40.9,79.3,61.1,Yes,None,11300,No,Work Visa,Fluent,No,1,Job Portal,Not Referred,2.7,2.5,Rejected
TLB0052,22,Male,Emirati,Bachelor's,425,Marketing,0,69.5,80.2,86.1,69.2,No,Tier 2,10800,Yes,UAE Resident,Fluent,Yes,7,Job Portal,Not Referred,4.0,3.9,Hired
TLB0053,35,Female,Filipino,Master's,175,Other,2,69.9,69.2,72.6,61.9,Yes,None,6600,No,UAE Resident,Intermediate,Yes,7,Company Website,Not Referred,3.9,3.3,Hired
TLB0054,22,Female,British,Bachelor's,192,Hospitality,0,74.8,78.0,77.5,68.3,Yes,Tier 1,15800,No,UAE Resident,Intermediate,No,1,Company Website,Not Referred,3.2,2.4,Hired
TLB0055,21,Female,Filipino,High School,702,Logistics,1,50.5,69.9,70.8,84.6,No,Tier 1,13900,Yes,Citizen,Native,No,6,Job Portal,Not Referred,3.0,3.5,Hired
TLB0056,36,Female,Pakistani,High School,418,Other,5,63.8,80.5,74.4,76.0,Yes,Tier 2,9100,Yes,Work Visa,Fluent,No,6,Job Portal,Not Referred,4.4,3.4,Hired
TLB0057,40,Male,Filipino,Bachelor's,334,Finance,9,77.4,68.2,39.5,46.9,No,Tier 1,12700,No,UAE Resident,Intermediate,No,2,Job Portal,Not Referred,4.3,4.3,Hired
TLB0058,25,Male,Indian,Bachelor's,324,Other,0,60.0,71.4,71.1,41.8,Yes,Tier 3,7700,No,Citizen,Fluent,No,7,Job Portal,Not Referred,2.1,4.1,Rejected
TLB0059,36,Male,Indian,Master's,242,Computer Science,3,76.9,72.9,61.5,71.2,Yes,None,9500,Yes,UAE Resident,Intermediate,No,1,Job Portal,Not Referred,4.0,2.5,Hired
TLB0060,34,Male,Indian,Master's,700,Logistics,0,66.5,90.5,66.5,81.3,Yes,None,15100,Yes,Work Visa,Native,No,4,LinkedIn,Not Referred,4.4,3.4,Rejected
TLB0061,29,Female,Filipino,Master's,262,Logistics,2,71.0,75.2,69.9,41.8,Yes,Startup,14100,Yes,UAE Resident,Basic,No,5,LinkedIn,Not Referred,3.7,3.4,Hired
TLB0062,38,Male,Pakistani,Bachelor's,329,Other,5,82.3,52.2,57.7,62.1,Yes,Tier 1,9700,No,Work Visa,Fluent,No,0,Walk-in,Not Referred,2.9,3.3,Hired
TLB0063,29,Male,Indian,Bachelor's,1,Engineering,7,61.6,61.2,53.0,98.2,Yes,None,13400,No,Work Visa,Fluent,No,7,Company Website,Not Referred,3.0,2.9,Rejected
TLB0064,33,Female,Other,Bachelor's,172,Hospitality,0,43.2,75.2,57.3,61.2,No,Tier 2,11700,Yes,Visit Visa,Intermediate,Yes,7,LinkedIn,Not Referred,4.4,4.5,Rejected
TLB0065,22,Female,Indian,Bachelor's,189,Business,6,61.0,83.1,48.2,100.0,No,Startup,7500,No,UAE Resident,Fluent,No,3,Company Website,Not Referred,3.8,2.6,Rejected
TLB0066,22,Male,Pakistani,Master's,397,Marketing,1,52.6,59.3,52.0,53.5,No,Startup,11200,Yes,UAE Resident,Intermediate,No,3,Company Website,Not Referred,3.6,4.4,Hired
TLB0067,37,Male,Pakistani,Bachelor's,144,Business,0,33.1,94.9,53.8,55.9,No,Tier 2,13900,Yes,UAE Resident,Native,Yes,2,Job Portal,Not Referred,4.8,2.0,Rejected
TLB0068,33,Male,Indian,Bachelor's,309,Marketing,5,63.4,70.1,48.3,55.2,No,Tier 3,13400,No,Citizen,Fluent,No,1,Job Portal,Not Referred,2.5,2.8,Rejected
TLB0069,29,Male,Egyptian,Bachelor's,178,Finance,7,68.0,73.0,73.9,47.1,No,None,4400,No,UAE Resident,Fluent,No,7,LinkedIn,Not Referred,3.1,3.7,Hired
TLB0070,41,Male,Pakistani,Bachelor's,79,Business,4,80.3,53.0,55.3,41.3,Yes,Tier 2,12700,Yes,Work Visa,Intermediate,No,7,Referral,Referred,3.3,2.3,Hired
TLB0071,41,Male,Emirati,Master's,71,Business,1,47.9,81.4,42.8,61.9,No,Startup,12100,No,Work Visa,Intermediate,No,4,LinkedIn,Not Referred,3.1,2.5,Hired
TLB0072,32,Male,Other,High School,265,Business,4,66.3,62.7,61.8,67.0,Yes,None,3500,Yes,UAE Resident,Native,Yes,3,Job Portal,Not Referred,1.9,3.5,Rejected
TLB0073,21,Female,British,High School,320,Finance,2,81.9,59.0,52.5,55.0,No,Tier 2,8400,Yes,UAE Resident,Intermediate,No,5,LinkedIn,Not Referred,3.9,1.7,Hired
TLB0074,29,Male,Egyptian,Bachelor's,261,Finance,7,56.4,64.2,86.0,58.3,No,Tier 2,14200,No,UAE Resident,Intermediate,Yes,3,Company Website,Not Referred,2.7,4.0,Hired
TLB0075,25,Male,American,Master's,133,Hospitality,8,73.0,84.6,68.7,85.2,No,Tier 3,18200,No,Work Visa,Native,No,6,Company Website,Not Referred,2.7,4.3,Rejected
TLB0076,30,Male,Other,Bachelor's,272,Computer Science,8,89.0,73.6,47.9,78.6,Yes,None,4600,Yes,Citizen,Native,No,4,Company Website,Not Referred,2.9,4.3,Hired
TLB0077,24,Male,Indian,Bachelor's,235,Logistics,4,37.1,57.3,74.4,61.4,Yes,Tier 3,16400,No,UAE Resident,Fluent,Yes,1,Company Website,Not Referred,3.0,3.4,Hired
TLB0078,22,Female,Filipino,Bachelor's,91,Finance,8,69.1,61.6,68.1,71.0,Yes,Tier 3,3500,No,Citizen,Native,No,7,Job Portal,Not Referred,3.1,2.8,Rejected
TLB0079,20,Male,Filipino,High School,316,Computer Science,1,82.4,84.9,63.9,42.1,No,Tier 2,18300,Yes,UAE Resident,Intermediate,No,3,Company Website,Not Referred,3.9,2.8,Hired
TLB0080,31,Female,Indian,Master's,662,Business,11,59.7,65.2,87.5,68.8,No,None,10900,Yes,UAE Resident,Fluent,No,4,LinkedIn,Not Referred,4.0,3.3,Hired
TLB0081,20,Female,Indian,Bachelor's,270,Engineering,1,85.8,74.7,54.3,64.1,Yes,None,8800,Yes,Citizen,Fluent,No,5,Referral,Referred,3.0,3.2,Hired
TLB0082,28,Male,Indian,High School,7,Engineering,0,74.5,77.7,80.5,59.8,No,Tier 3,13600,No,Citizen,Intermediate,No,7,Company Website,Not Referred,2.8,2.8,Hired
TLB0083,34,Female,Egyptian,Bachelor's,593,Computer Science,9,91.5,27.0,61.7,65.5,Yes,None,7700,Yes,UAE Resident,Fluent,Yes,3,Referral,Referred,3.1,4.4,Hired
TLB0084,25,Male,British,Bachelor's,551,Business,2,73.7,83.2,66.8,63.2,No,Startup,14300,Yes,Work Visa,Intermediate,Yes,1,Job Portal,Not Referred,2.6,2.9,Hired
TLB0085,23,Male,Egyptian,Bachelor's,586,Computer Science,5,92.8,57.8,57.3,46.6,No,None,11400,No,Citizen,Intermediate,Yes,0,Referral,Referred,3.2,4.2,Rejected
TLB0086,29,Male,Indian,Master's,291,Computer Science,1,69.5,63.7,58.1,88.5,No,Tier 2,3000,Yes,Visit Visa,Fluent,No,4,Job Portal,Not Referred,2.5,3.2,Hired
TLB0087,25,Female,Indian,Bachelor's,143,Business,13,44.5,86.5,61.3,78.3,No,Tier 2,8400,No,Work Visa,Fluent,Yes,3,LinkedIn,Not Referred,4.7,3.1,Hired
TLB0088,31,Male,Pakistani,Bachelor's,121,Logistics,11,55.5,85.4,42.3,59.6,No,None,12900,No,UAE Resident,Fluent,No,4,Job Portal,Not Referred,3.3,3.5,Rejected
TLB0089,23,Male,Pakistani,Bachelor's,528,Marketing,10,80.3,73.9,71.5,40.4,Yes,Tier 3,16800,Yes,UAE Resident,Basic,No,6,LinkedIn,Not Referred,2.8,3.5,Rejected
TLB0090,29,Male,Other,Master's,621,Engineering,5,80.0,76.7,68.5,30.6,No,Tier 2,13500,No,Work Visa,Fluent,No,2,Company Website,Not Referred,3.7,3.0,Hired
TLB0091,27,Male,American,High School,115,Finance,8,60.3,79.7,47.5,93.1,Yes,Startup,16700,No,Work Visa,Intermediate,Yes,5,Referral,Referred,2.3,3.6,Hired
TLB0092,29,Female,Other,Bachelor's,1,Marketing,4,92.1,85.2,75.6,62.6,Yes,Tier 3,8000,No,UAE Resident,Basic,Yes,1,Company Website,Not Referred,2.7,3.7,Rejected
TLB0093,39,Male,American,Bachelor's,296,Computer Science,8,59.7,86.7,85.9,75.7,Yes,Tier 2,15300,No,UAE Resident,Fluent,No,5,LinkedIn,Not Referred,3.5,4.4,Rejected
TLB0094,31,Male,Other,Bachelor's,119,Business,3,71.9,69.3,58.4,51.7,Yes,Tier 2,15300,Yes,UAE Resident,Intermediate,Yes,0,Job Portal,Not Referred,3.3,3.2,Rejected
TLB0095,33,Male,Pakistani,PhD,158,Business,10,71.5,59.2,56.8,60.7,Yes,Tier 3,4700,No,UAE Resident,Intermediate,No,1,Company Website,Not Referred,3.9,2.5,Hired
TLB0096,26,Female,Emirati,Bachelor's,252,Marketing,3,45.0,64.9,81.5,61.4,No,Tier 1,16900,No,UAE Resident,Native,Yes,2,Walk-in,Not Referred,1.3,2.6,Rejected
TLB0097,31,Male,Emirati,High School,381,Engineering,3,63.3,69.5,72.2,68.4,Yes,Tier 2,13500,No,UAE Resident,Basic,No,1,Job Portal,Not Referred,3.8,5.0,Hired
TLB0098,28,Male,Indian,Bachelor's,143,Engineering,3,100.0,67.4,65.2,66.3,Yes,Tier 3,10700,No,UAE Resident,Fluent,No,5,Company Website,Not Referred,2.8,1.6,Hired
TLB0099,30,Male,Indian,Master's,327,Marketing,5,51.2,55.9,77.6,52.1,No,Startup,10700,No,Citizen,Intermediate,No,3,Job Portal,Not Referred,2.4,2.1,Rejected
TLB0100,33,Female,Indian,Bachelor's,274,Other,3,74.4,73.2,70.6,51.9,No,Tier 3,7300,Yes,Work Visa,Intermediate,No,2,LinkedIn,Not Referred,2.0,3.1,Hired
TLB0101,26,Female,Other,Bachelor's,1,Business,6,47.7,49.2,85.6,63.9,Yes,Tier 2,14800,Yes,UAE Resident,Native,Yes,2,Company Website,Not Referred,2.8,2.6,Hired
TLB0102,27,Female,Indian,Bachelor's,408,Marketing,3,51.0,69.0,66.8,40.4,No,Startup,13400,Yes,UAE Resident,Fluent,Yes,5,Referral,Referred,4.3,3.8,Rejected
TLB0103,27,Male,Other,Master's,209,Engineering,7,43.8,69.8,72.5,53.5,Yes,Tier 2,14600,Yes,UAE Resident,Fluent,No,4,Job Portal,Not Referred,3.9,3.7,Rejected
TLB0104,26,Female,Egyptian,Master's,47,Finance,10,79.1,69.4,81.3,62.8,No,Tier 2,12400,No,Work Visa,Fluent,No,7,LinkedIn,Not Referred,4.3,2.7,Rejected
TLB0105,31,Female,Filipino,Bachelor's,154,Hospitality,5,51.9,78.2,35.2,70.6,No,Tier 2,12900,Yes,Work Visa,Intermediate,Yes,4,Referral,Referred,3.1,4.3,Hired
TLB0106,27,Female,Egyptian,PhD,340,Finance,12,84.0,76.6,81.7,86.0,Yes,Startup,10700,Yes,Work Visa,Native,No,5,Company Website,Not Referred,3.3,2.2,Hired
TLB0107,38,Male,Indian,PhD,309,Business,8,57.0,94.7,60.4,58.3,No,Tier 1,16800,Yes,Work Visa,Basic,No,7,Referral,Referred,2.1,2.5,Rejected
TLB0108,46,Male,Filipino,Bachelor's,428,Engineering,12,66.9,61.8,73.5,65.5,No,Tier 3,14700,No,UAE Resident,Fluent,Yes,6,LinkedIn,Not Referred,2.1,4.4,Rejected
TLB0109,26,Male,Indian,Bachelor's,387,Logistics,4,71.2,71.4,88.6,38.9,No,Tier 3,12800,Yes,UAE Resident,Fluent,No,6,Referral,Referred,3.1,2.1,Rejected
TLB0110,31,Female,Other,Bachelor's,65,Engineering,0,40.7,70.6,63.0,69.7,Yes,None,11400,No,UAE Resident,Fluent,No,4,Job Portal,Not Referred,2.2,3.4,Hired
TLB0111,36,Male,Indian,Bachelor's,1,Other,2,68.1,70.0,61.1,52.3,Yes,Startup,4000,Yes,UAE Resident,Native,Yes,6,LinkedIn,Not Referred,2.6,4.4,Hired
TLB0112,28,Male,Indian,Bachelor's,324,Engineering,2,70.2,52.8,66.3,60.7,No,None,3100,Yes,UAE Resident,Intermediate,No,7,Referral,Referred,3.2,1.0,Hired
TLB0113,24,Male,Egyptian,Bachelor's,426,Engineering,1,82.1,53.8,48.1,71.7,Yes,Startup,10300,Yes,Work Visa,Fluent,No,0,Walk-in,Not Referred,4.1,2.8,Hired
TLB0114,40,Male,Egyptian,PhD,259,Engineering,0,50.6,68.1,95.6,72.2,No,Tier 2,17700,No,UAE Resident,Intermediate,No,6,Walk-in,Not Referred,3.2,3.9,Hired
TLB0115,34,Male,Pakistani,Bachelor's,432,Engineering,8,52.7,49.1,66.4,44.6,Yes,Tier 2,8800,Yes,Work Visa,Intermediate,Yes,0,LinkedIn,Not Referred,2.2,2.9,Hired
TLB0116,31,Female,Filipino,Master's,99,Logistics,0,74.9,64.0,88.4,76.2,Yes,Tier 1,9000,Yes,UAE Resident,Fluent,Yes,2,Company Website,Not Referred,1.9,3.1,Hired
TLB0117,38,Female,Indian,Bachelor's,230,Computer Science,8,86.2,60.2,62.7,64.5,Yes,Tier 2,7600,Yes,UAE Resident,Fluent,No,6,LinkedIn,Not Referred,3.3,3.3,Hired
TLB0118,34,Female,Egyptian,Bachelor's,115,Marketing,12,56.1,64.4,67.4,82.7,No,Tier 1,6200,Yes,Work Visa,Fluent,Yes,5,Walk-in,Not Referred,2.8,3.4,Hired
TLB0119,29,Male,Indian,Master's,439,Finance,2,46.5,81.6,79.3,85.5,Yes,Tier 2,7900,Yes,UAE Resident,Fluent,No,4,Referral,Referred,3.3,2.5,Rejected
TLB0120,24,Female,Indian,High School,117,Logistics,6,60.2,55.1,52.7,87.5,Yes,Startup,13300,Yes,UAE Resident,Intermediate,Yes,5,Referral,Referred,3.1,3.7,Hired
TLB0121,27,Female,Indian,High School,711,Marketing,3,49.8,78.4,65.7,45.1,No,Startup,9800,Yes,UAE Resident,Native,No,1,LinkedIn,Not Referred,3.2,3.3,Hired
TLB0122,37,Female,Indian,Bachelor's,199,Other,7,71.0,61.1,78.8,70.6,No,Tier 2,9600,No,Work Visa,Fluent,Yes,6,Company Website,Not Referred,4.0,2.2,Hired
TLB0123,34,Male,Indian,Master's,459,Logistics,0,48.8,62.6,64.2,42.9,Yes,Tier 3,9200,Yes,UAE Resident,Fluent,No,0,LinkedIn,Not Referred,3.9,2.7,Hired
TLB0124,28,Male,Pakistani,Bachelor's,202,Business,4,79.6,73.6,60.7,83.2,Yes,Tier 2,13100,No,Citizen,Fluent,Yes,2,Job Portal,Not Referred,3.5,2.0,Rejected
TLB0125,40,Male,Indian,High School,567,Logistics,8,68.2,64.7,81.5,85.2,No,Tier 3,13800,No,Citizen,Basic,No,0,Referral,Referred,2.6,3.3,Rejected
TLB0126,29,Male,Indian,Bachelor's,559,Other,4,80.1,57.3,85.2,78.7,Yes,Tier 3,3600,No,Visit Visa,Intermediate,Yes,4,Company Website,Not Referred,2.8,3.5,Hired
TLB0127,35,Male,Pakistani,Bachelor's,235,Business,0,28.7,63.6,87.3,59.1,No,Tier 2,8600,No,UAE Resident,Intermediate,Yes,6,Job Portal,Not Referred,3.7,3.3,Hired
TLB0128,31,Male,Indian,High School,354,Finance,9,38.6,46.7,58.2,72.6,Yes,Tier 2,11600,Yes,Work Visa,Fluent,Yes,7,LinkedIn,Not Referred,4.1,3.5,Hired
TLB0129,41,Male,Egyptian,Bachelor's,554,Business,0,84.4,72.6,59.5,57.3,No,None,14000,Yes,UAE Resident,Fluent,No,0,LinkedIn,Not Referred,2.3,3.2,Hired
TLB0130,34,Female,Other,Bachelor's,360,Finance,5,54.2,30.8,60.9,65.2,Yes,Tier 3,12600,Yes,Citizen,Native,Yes,7,Referral,Referred,4.3,3.7,Hired
TLB0131,30,Male,Pakistani,Bachelor's,115,Computer Science,7,43.0,78.7,76.3,63.7,Yes,Tier 3,15700,Yes,Work Visa,Intermediate,No,1,Job Portal,Not Referred,2.7,3.0,Hired
TLB0132,28,Female,Other,Master's,314,Hospitality,5,62.0,75.4,51.4,37.0,Yes,Tier 1,5600,Yes,UAE Resident,Fluent,Yes,2,LinkedIn,Not Referred,3.7,3.7,Rejected
TLB0133,29,Female,Emirati,Master's,150,Engineering,13,68.6,87.2,52.2,53.7,Yes,Tier 2,13900,Yes,UAE Resident,Fluent,No,2,Job Portal,Not Referred,5.0,2.1,Hired
TLB0134,25,Male,Emirati,Bachelor's,330,Marketing,7,62.6,94.2,57.7,96.8,No,Tier 2,21200,Yes,Visit Visa,Intermediate,Yes,3,Company Website,Not Referred,2.1,2.0,Rejected
TLB0135,21,Female,Egyptian,Bachelor's,142,Computer Science,4,72.0,79.2,54.8,63.8,Yes,None,12200,No,Citizen,Intermediate,Yes,0,Company Website,Not Referred,3.6,3.2,Hired
TLB0136,31,Male,Egyptian,Bachelor's,374,Finance,7,70.0,60.5,78.5,67.2,Yes,Tier 2,12400,Yes,Work Visa,Fluent,No,2,Company Website,Not Referred,3.0,3.6,Hired
